SETTLEMENT DATE|CUSIP|SYMBOL|QUANTITY (FAILS)|DESCRIPTION|PRICE
20140801|Y0207T100|ASC|4|ARDMORE SHIPPING CORP COM MARS|13.13
20140801|Y0486S104|AVGO|909|AVAGO TECH LTD ORD SHS (SG)|69.38
20140801|Y0553W103|BALT|1050|BALTIC TRADING LIMITED COMMON |5.09
20140801|Y09675102|TEU|788|BOX SHIPS INCORPORATED SHS (MA|1.39
20140801|Y09675144|TEUPRC|292|BOX SHIPS INCORPORATED CUMV RE|23.82
20140801|Y11082107|CPLP|12337|CAPITAL PRODUCT PARTNERS L P (|11.09
20140801|Y1771G102|CMRE|534|COSTAMARE INC COM STK (MHL)|23.70
20140801|Y1771G110|CMREPRB|100|COSTAMARE INC PER PFD STK SER |25.35
20140801|Y1968P105|DAC|293|DANAOS CORPORATION COM STK (MA|5.74
20140801|Y2065G121|DHT|210|DHT HOLDING, INC NEW|6.62
20140801|Y2066G112|DSXPRB|98|DIANA SHIPPING INC PERP PFD 8.|26.35
20140801|Y2069P101|DCIX|6118|DIANA CONTAINERSHIPS INC|2.46
20140801|Y2109Q101|DRYS|23658|DRYSHIPS INC.|2.86
20140801|Y2187A119|EGLE|2936|EAGLE BULK SHIPPING INC COM ST|1.73
20140801|Y2188B108|DLNG|1119|DYNAGAS LNG PARTNERS LP COM UN|23.34
20140801|Y2573F102|FLEX|3419|FLEXTRONICS INTL LTD|10.39
20140801|Y26496300|FREE|5452|FREESEAS INC COM (MHL)|0.46
20140801|Y2687W108|GLOP|302|GASLOG PARTNERS LP UNIT LTD PA|33.40
20140801|Y2745C102|GMLP|23|GOLAR LNG PARTNERS LP COM UIT |33.07
20140801|Y62159101|NNA|275|NAVIOS MARITIME ACQUISITION CO|3.20
20140801|Y62267102|NMM|15230|NAVIOS MARITIME PARTNERS L.P. |19.65
20140801|Y64354205|ORIG|932|OCEAN RIG UDW INC|17.47
20140801|Y7388L103|SB|98313|SAFE BULKERS INC COM STK (MH) |7.29
20140801|Y7545W109|SDLP|208|SEADRILL PARTNERS LLC COM UNIT|32.40
20140801|Y75638109|SSW|1|SEASPAN CORPORATION COM SHS (M|22.79
20140801|Y75638133|SSWPRE|1363|SEASPAN CORP CUM REDEEMABLE PE|26.15
20140801|Y75638208|SSWPRD|375|SEASPAN CORP CUMULATIVE REDEEM|26.64
20140801|Y8162K121|SBLK|5|STAR BULK CARRIERS CORP COM ST|10.71
20140801|Y81669106|GASS|152|STEALTHGAS INC|10.70
20140801|Y8564M105|TGP|2011|TEEKAY LNG PARTNERS L.P. COM U|42.84
20140801|Y8564W103|TK|65|TEEKAY CORPORATION (MARSHALL I|55.66
20140801|Y8565J101|TOO|964|TEEKAY OFFSHORE PARTNERS LP CO|33.97
20140801|Y8565J127|TOOPRA|440|TEEKAY OFFSHORE PARTNERS L P 7|25.60
20140801|Y8897Y149|TOPS|15878|TOP SHIPS INC COM STK (MH)|2.02
20140801|000304105|AACAY|1|AAC TECHNOLOGIES HOLDINGS INC |59.87
20140801|000361105|AIR|214|A A R CORP|26.90
20140801|000375204|ABB|154|ABB LTD ADS ( 1 REG SHS)|23.00
20140801|000380105|ABCZY|785|ABCAM PLC UNSPON ADR (UK)|6.71
20140801|000957100|ABM|200|ABM INDUSTRIES INC|24.61
20140801|001004100|ADMT|3357|ADM TRONICS UNLIMITED INC|0.09
20140801|00101J106|ADT|110053|ADT CORP|34.80
20140801|001055102|AFL|1|AFLAC INC|59.74
20140801|001055300|AFSD|2226|AFLAC INC 5.50 SUB DEB DUE 9/1|24.16
20140801|001084102|AGCO|14933|AGCO CORP|48.71
20140801|001201102|AGLNY|690|AGL Energy Ltd Unsponsored ADR|13.74
20140801|001204106|GAS|793|AGL RESOURCES INC (HOLDING CO)|51.64
20140801|001282102|AHC|47|A H BELO CORP CL A COM STK (DE|10.55
20140801|001338201|AICPQ|80|AICI CAP TST 9% PFD SECS|0.11
20140801|001547108|AKS|36424|AK STEEL HOLDING CORP|9.10
20140801|00162Q205|EQL|756|ALPS ETF TR EQUAL SECTOR WEIGH|53.54
20140801|00162Q643|SGDM|37743|ALPS ETF SPROTT GOLD MINERS ET|24.55
20140801|00162Q650|EQLT|200|ALPS ETF TR WORKPLACE EQUALITY|26.01
20140801|00162Q668|EDOG|5517|ALPS ETF EMERGING SECTOR DIVI |27.02
